hindi_terms,english_translations
नमी विशेषता वक्र,moisture characteristic curve
खली,oil cake
चूनेदार,calcarious
कैल्सियममी,calcarious
कैल्सीयन,calcification
फॉस्फेट का निस्तापन,calcination of phosphate
किपनता,callosity
कैलसता,callosity
कैलस,callus
किण,callus
बाह्यदल पुंज,calyx
कैलिक्स,calyx
बाह्यदल अंत,calyx-end
एधा,cambium
कैंकर (जीवाणु रोग),canker
डिब्बाबंदी,canning
वितान,canopy
पूंजी,capital
परागण (अंजीर का),caprification
संयुट,capsule
संयुटिका,capsule
कैप्सूल,capsule
कार्बनीकृत,carbonated
कार्बनन,carbonization
अंडप,carpel
मणिबंध,carpus
ढलाई (लोहे की),casting
क्षिति (कीट),casting
अपचय,catabolism
उद्रेरण,catalysis
इल्ली,caterpillar
सुंडी,caterpillar
सी. डी. एन. ए. संग्रह,C-DNA Library
सीमा,limitation
कोशिका,cell
कोषिका,cell
केंद्रीय अग्रण प्रणाली,central leader system
संबिंदु,centric
सर्केंद्र,centric
अपकेंद्रण,centrifugation
अपकेंद्रक,centrifuge
तारकेंद्र,centriole
केंद्रजनिक,centrogenic
केंद्रज,centrogenous
लूम,cercus
धान्य,cereal
सीरियल,cereal
प्रमाणीकरण,certification
प्रमाणन,certification
प्रमाणित बीज,certified seed
भूसा,straw
कुट्टी,chaff
शल्क सहपत्र,chaff
निभाग,chalaza
केलाजा,chalaza
रसायुवर्तन,chemotropism
"किआज्मा, व्यस्तर",chiasma
अतिशीतन घंटे,chilling hours
शीतज क्षति,chilling injury
"विचित्रोतकी, काइमेरा",chimera
हरित दली,chloranthy
"पर्णहरित, हरितक",chlorophyll
हरिमाहीनता,chlorosis
जीव वितरण विज्ञान,chorology
"क्रोमैटिड, अर्धगुणसूत्र",chromatid
क्रोमेटिन,chromatin
वर्णलेखन,chromatography
क्रोमोटिनलयन,chromatolysis
परिसूत्र बिंदु,chromocentre
वर्णजनन,chromogenesis
"क्रोमोप्रोटीन, वर्णकप्रोटीन",chromoprotein
"गुणसूत्र, क्रोमोसौम",chromosome
"विकराली, दीर्घकाली, जीर्ण, पुराना",chronic
सिंट्रेंज,citrange
पर्णमर्भव,cladode
वर्गीकरण,grading
"मृत्तिका, चिकनी मिट्टी",clay
"निर्मलन, माजन, सफाई, शोधन",cleaning
अनुनिलय परागण,cleistogamy
क्रांतिक स्वसनी फल,climacteric fruit
जलवायु,climate
जलवायु विज्ञान,climatology
कतरनी,clipper
ढेला (मिटटी का),clod
क्लोन,clone
मेघ,cloud
बादल,cloud
पुंज,clump
कलंप,clump
संयुजन,clump
गुच्छ,cluster
स्थूल,coarse
मोटा,coarse
कच्चा,coarse
अपरिष्कृत,coarse
आवरण,coat (seed)
चर्मावरण,coat (seed)
कोया,cocoon
कोएन्जाइम,coenzyme
सह-एन्जाइम,coenzyme
संयोजन,cohesion
रेशा (जूट पटसन),coir
नारियल जटा,coir
मूलांकुर चोल,coleorrhiza
स्तंभमूलसंथि,collar
कॉलर,collar
ग्रीवा,collar
कोलॉइड (मृदा),colloid (soil)
स्तंभिका,columella
कॉलुमेला,columella
दंड,mast
स्तंभ,column
कॉलम,column
सहभोजिता,commensalism
वाणिज्यिक बैंक,commercial bank
जिंस,commodity
पण्य वस्तु,commodity
समुदाय,community
"संहनन, (मृदा का)",compaction (of soil)
"सुसंगति, संगतता",compatibility
सुसंगतता,compatibility
"क्षतिपूर्ति, मुआवजा",compensation
स्पर्धा अन्योन्यक्रिया,competitive interaction
पूरक फसल,complementary crop
"समिश्र, जटिल",complex
घटक,factor
संघटन,fasciation
कंपोस्ट,compost
चक्रवृद्धि ब्याज,compound interest
अभिकलन,computation
"अभिकलित्र,कंप्यूटर",computer
"सांद्रण, संकेन्द्रण",concentration
"अनुकूलक, पुनरुद्धारक",conditioner
चालकता,conductance
"विन्यास, संरूपण",configuration
"अनुरूपता,समन्व्यास,संरूपता",conformity
"समागुलन, संकरण",confounding
संयुगमन,conjugation
योज़ी,connective
संयोज़ी,connective
संरक्षण,conservation
चक्रबंदी,consolidation
संघटक,constituents
अवयव,constituents
उपभोक्ता,consumer
उपभोग,consumption
संदूषण,contamination
समोच्च रोपण,contour planting
समोच्च रेखा,contour
संविदा कृषि,contract farming
ठेका कृषि,contract farming
अनुबंधित खेती,contract farming
नियंत्रित वातावरणीय भंडारण,controlled storage
सहकारी बैंक,co-operative bank
सहकारी संस्था सदस्य,cooperator
गुल्मवन,coppice
घनकंद,corm
दलपुंज,corolla
कोरोला,corolla
वल्कुट,cortex
कोर्टेक्स,cortex
लागत,cost
बीजपत्र,cotyledon (seed)
ऋण समिति,credit society
उधार,credit
साख,credit
ऋणदाता,creditor
लेनदार,creditor
शिखा,crest
शिख,crest
शिखर,crest
व्याकुंचन,crinkle
संकट,crisis
कसौटी,criterion
क्रांतिक,critical
फसल बीमा,crop insurance
फसल ऋण,crop loan
सरस,crop
फसल,crop
सरयन क्षेत्र,cropping area
पार-असंगत,cross-incompatible
मुकुट,crown (plant)
शिखर (पादप),crown (plant)
मृदुकण,crumb
पपड़ी,crust
क्रिप्टोगेम,cryptogam
अपुष्पीयपदप,cryptogam
छांटन (फल),cull (fruits)
कल्म,culm
कृषि किस्म,cultivar
कर्षण,draw
खेती,farming
किसान,farmer
कल्टीवेटर (यंत्र),cultivator
संवर्ध,culture
संवर्धन,culture
पालन,culture
संसाधन,curing
तैयार करना,curing
कुंतलन,curling
कुंचन,curling
मुद्रा,currency
उपत्वचा,cuticle
क्यूटिकल,cuticle
कलम,cutting
कटाई,harvest
काटना,cutting
कटाव,cutting
कटााव,cutting
कृषि कोष,cyst
सिस्ट,cyst
पुटी,cyst
विकृत गुल्म,cyst
रसोली,cyst
साइटोक्रोम,cytochrome
कोशिका युग्मन,cytogamy
कोशिका जनन,cytogenesis
कोशिका आनुवंशिकी,cytogenetics
कोशिका द्रव्य विभाजन,cytokinesis
कोशिका विज्ञान,cytology
कोशिका लयन,cytolysis
साइटोमियर,cytomere
कोशिका खंड,cytomere
कोशिका द्रव्य,cytoplasm
डेरी,dairy
दुग्धशाला,dairy
डेरी उद्योग,dairying
बांध,dam
प्रजननी,dam
दिवस निरपेक्ष पादप,day-neutral
पुष्पन के बाद दिन,days after flowering
पूर्ण पुष्पन के बाद दिन,days after full bloom
निष्पुषण,deblossoming
विकल्पीकरण,decalcification
निथारना,decant
निस्तारना,decant
क्षय,decay
पर्णपाती,deciduous
दशमलव,decimal
दशांशिक,decimal
न्यूनता,deficiency
अनुपूर्णन (मृदा),deflocculation (soil)
विपुष्पन,defloration
विपर्णण,defoliation
वनोन्मूलन,deforestation
अपक्षयस्त,degeneration
निम्नीकरण,degradation
अंश दिवस,degree days
मात्रा,dose
अंश,degree
स्फुटन,dehiscence
भूसी हटाना,dehusking
निर्जलीकरण,desiccation
निर्जलकारित्र,dehydrator
मांग,demand
विकृतिकरण,denaturation
गुणनाशन,denaturation
अनाच्छादन,denudation
निक्षेप (मृदा),deposit
जमा (अर्थशास्त्र),deposit
निक्षेपण,deposition
मूल्यह्रास,depreciation
अमूल्यन,devaluation
विलवणीकरण,desalinization
जल शुष्कन,desiccation
अभिकल्पना,design
डिजाइन,design
शुष्कित्र,dessicator
गुठली निकालना,destoning
वि-अंकुर भूस्स्तरीकरण,desuckering
वियुग्मन,desynapsis
नर मंजरी निकालना (मक्का),detassel
बल्लर,detassel
निकालना,detassel
बल्लर या फुंदन को काटना,detasseling
निर्धारक,determinant
वनस्पतिरहित करना,devegetation
विचलन,deviation
द्विक,diad
निदान,diagnosis
भिन्नकाल पक्वता,dichogamy
द्विभाजन,dichotomy
"द्विबीजपत्री, डाइकोटिलेडन (बीज)",dicotyledon (seed)
परखमारी (रोग),die back (disease)
"विसरण, विस्तार",diffusion
पाचनीयता,digestibility
द्विसंकर,dihybrid
"बांध, नाली, परिवाह",dike (dyke)
तनु,dilute
"एकलिंगाश्रयी, पृथक् लिंगी",dioecious
द्विगुणित,diploid
"द्विगुणित, डिप्लॉइड",diploid
द्विसूत्र,diplonema
"निकलिकायन, कलिका निकालना",disbudding
"तवेदार हल चलाना, चकाकरण",discing
छूट,discount
रोगाणुनाशन,disinfection
"परिक्षेपण, प्रकीर्णन",dispersion
"1. प्रकीर्णन, 2. प्रसरण",dissemination
विविधीकरण,diversification
विविधीकृत कृषि,diversified farming
डी एन ए सोपान,DNA Ladder
डी.एन.ए. ग्राही,DNA receptor
गोदी-भाड़ा,dockage
प्रभावी,dominant
प्रसुप्ति,dormancy
खुराक,dose
डोज,dose
दोहरा सिगमाय वक्र,double sigmoid curve
झोंका,draft (draught)
खिंचाव,draft (draught)
निकास नाली,drain
अपवाहिका,drain
जलनिकास,drainage
दवा पिलाना,drenching
दवाई से तर करना,drenching
प्रसाधन (बीज),dressing (seed)
बरसा,drill (n.)
उथली भूल,drill (n.)
ड्रिल,drill (n.)
वफित्र,drill (n.)
सुराख करना,drilling (ag. engg)
बेधन,drilling (ag. engg)
बरमाना,drilling (ag. engg)
वेधन,drilling (agronomy)
ड्रिल से बोना,drilling (agronomy)
ड्रिल से डालना,drilling (agronomy)
बूंद-बूंद सिंचाई,drip irrigation
शुष्क खेती,dryland farming
धूल,dust
बुकी,dust
धूलिन,duster
प्रकीर्णक,duster
बुरकना,dusting
बौना,dwarf
वामन,dwarf
वामन पिरामिड,dwarf pyramid
वामनिमापन,dwarfing
पारिस्थितिकी,ecology
अर्थमिति,econometrics
आर्थिक दक्षता,economic efficiency
पारिस्थितिक प्रकार,ecotype
बाहि:स्तरपोषित,ectotrophic
मृदीय,edaphic
मेड़बंदी,edging
किनारा बनाना,edging
किनारा बंदी,edging
खाद्य अंश,edible part
मांग की लोच,elasticity of demand
उत्पादन लोच,elasticity of production
विद्युत्-अपघटन,electrolysis
वैद्युतकण-संचलन,electrophoresis
अवक्षालन,eluviation
विपुंसिकारित,emasculator
बधंकारित्र,emasculator
विपुंसिकार,emasculator
बधंकार,emasculator
मेड़ बंदी,embanking
डोलंबदी,embanking
भ्रूणविज्ञान,embryology
भ्रूणिकी,embryology
"निकलना, निर्माण",emergence
पायसीकारक,emulsifier
अंतर्जात,endogenous
अंतः सूत्री विभाजन,endomitosis
अंतः परजीवी,endoparasite
भ्रूणपोष,endosperm
उद्यम,enterprise
कीटविज्ञान,entomology
पर्यावरण,environment
"प्रकिण्व, एन्जाइम",enzyme
दलपुंज कलमबंदी,epicotyl grafting
"अधिपादप, एपिफाइट",epiphyte
समानधिकारिता,equity
उन्मूलन,eradication
आवश्यक पोषक तत्व,essential nutrients
"परिसमन, कृतन, आकलन",estimation
पांडुरता,etiolation
सृजननिक,eugenic
मूल्यांकन,evaluation
वाष्पमापी,evaporimeter
वाष्प-वाष्पोत्सर्जन,evapo-transpiration
सदाबहारित क्रांति,evergreen revolution
सदाहरित,evergreen
सदापर्णी,evergreen
विकास,evolution
उच्छेद करना,excise
परिश्रम (उर्वरता),exhaustion (fertility)
शोषण,exploitation
खोज,exploration
अन्वेषण,exploration
बहिर्वेशन,extrusion
उत्सारण,extrusion
आंख,eye (sugarcane/potato)
कारक,factor
उपादान,factor
साधन,factor
कारक उत्पादकता,factor productivity
आदित्ये का बट्टा,factorage
क्रमगुणित ब्लॉक डिजाइन,factorial block design
पड़ती,fallow
पलिहर,fallow
कुल,family
प्रक्षेत्र मूल्यांकन,farm appraisal
प्रक्षेत्र का बजट बनाना,farm budgeting
कृषि व्यवसाय,farm business
प्रक्षेत्र नियोजन,farm planning
कृषक,farmer
बहुप्रजनन,fecundation
किण्वन,fermentation
उर्वरता,fertility
उर्वरक,fertilizer
उर्वरक उपयोग दक्षता,fertilizer use efficiency
रेशेदार,fibrous
खेत,field
स्थान,field
मृदा जलधारणता,field capacity
प्रक्षेत्र प्रदर्शन,field demonstration
स्थिरीकरण,fixation
योगिकीकरण,fixation
निधारण,fixation
आत्लावन,submergence
अधिसिंचन,flooding
प्रवाह आलेख,flow diagram
खाद्य मान,food value
चारा,forage (fodder)
पूर्वानुमान,forecasting
वन,forest
ताडपर्ण,frond
प्रपर्ण,frond
तुषार रोधी,frost resistant
पाला,frost
तुषार,frost
हिमशीतित,frozen (fruit & vegetable)
हिमीकृत,frozen (fruit & vegetable)
फलन,fructification
फल पातन,fruit drop
फल का झड़ना,fruit drop
फल बनना,fruit -set (fruit setting)
धूमन,fumigation
धूम देना,fumigation
कवकनाशी,fungicide
कवकरोधी,fungistatic
कवक,fungus
खुर,furow
सीता,furow
संलयन,fusion
संगलन,fusion
रूआं,fuzz
रोएंदार,fuzzy
वृक्ष ब्रण,gall (Hort)
पिटिका,gall (Hort)
युग्मक,gamete
गैमेट,gamete
उद्यान,garden
बाग,garden
पनसाल,gauge (water)
जलमापी,gauge (water)
जीन संग्रह,gene bank
जीन टैगन,gene tagging
वंशावली विज्ञान,geneology
जीन मानचित्र,genetic map
आनुवंशिकी,genetics
जीनोम,genome
संजीन,genome
संजीनि संग्रह,genomic library
जीनोमिक्स,genomics
जीनप्ररूपी,genotype
जिनी संरचना,genotype
जीन प्रकार,genotype
वंश,genus
जीनस,genus
रोगाणु,germ
जर्म,germ
रोगाणुनाशी,germicide
अंकुरण,germination
जननद्रव्य,germplasm
जर्मप्लाज्म,germplasm
जिबरेलिक अम्ल,gibberellic acid
ओटना,ginning
तुष,glume
लसदार,glutinous
ग्लूटिनी,glutinous
ग्लाइकोलिसिस,glycolysis
नाइस,gneiss
स्वर्णिम क्रांति,golden revolution
श्रेणीकरण,grading
स्तरीकरण,grading
कलमबंद पादप,grafted plant
कलमी पौधा,grafted plant
कलम असंगत,graft-incompatible
ग्रैना,granna
कणिकायन,granulation
हरी खाद,green manure
हरित क्रांति,green revolution
वृद्धि और परिवर्तन,growth and development
गोंद रोग,gummosis
गोंदाल्ति,gummosis
भिन्नस्थ - उपयस्त्रीलिंगी,gynodioecious
प्रकृति,habit
स्वभाव,habit
रूपगुण,habit
स्वरूप,habit
ओला,hail
करकापात,hail
करका,hail
रोमिलवेच,hairyvetch
लवणम्यूदतभिद,halophyte
हेरो,harrow
तुलाई सूचकांक,harvest index
कटाई सूचकांक,harvest index
कटी फसल,harvest
तैयार फसल,harvest
उपज,harvest
तोड़ना,harvesting
तुलाई,harvesting
अंडे से निकलना,hatch
अंडा सेना,hatch
सूखी घास,hay
सूखा चारा,haylage
गंजी,haystock
धुंध,haze
धुंधता,hazy
बालि,head (Agro)
सिट्टा,head (Agro)
मुंडक,head (Agro)
शीर्ष,head (Agro)
सिर,head (Agro)
सिरा,head (Agro)
सिरा (नाली का),head (of channel)
शीर्ष छंटाई,heading back
बाड़,hedge
अधिक्षण,hedging
कुंडलिनी,helix
हेमटाइट,hematite
शाक,herb
बूटी,herb
वनस्पति संग्रह,herbarium
वनस्पति संग्रहालय,herbarium
शाकनाशी,herbicide
आनुवंशिकता,heredity
वंशागति,heretability
उभयलिंगी,hermaphrodite
विषमवर्णी,heterochromatic
विषम-निषेचन,heterofertilization
संकरउत्प,heterosis
हेटेरोसिस,heterosis
लिंगक्रोमोसाम,heterosome
परपोषित,heterotroph
षड्गुणित,hexaploid
शीत निष्क्रियता,hibernate
उच्च सघनता रोपण,high density planting
पिंडलक,hill (rice)
हिल (धान),hill (rice)
आयतचित्र,histogram
उच्च तकनीकी औद्यानिकी,hitech horticulture
करंड,hive
छत्ता,hive
गुड़ाई,intercultivation (interculture)
गोड़ना,hoeing
जोत,holding
निजी फार्म,home farm
समस्थिति,homeostasis
वासभूमि,homestead
समांगता,homogeneity
सजातीय,homogenous
समानगी,homogenous
समधर्मी,homologus
समगुणज,homozygote
खुरलिका,hopper
खाद्ययानी,hopper
हापर,hopper
संसरण,horizon
क्षितिज,horizon
औद्यानिक फसलें,horticultural crops
उद्यान विज्ञान,horticulture
बागवानी,horticulture
उद्यान कृषि,horticulture
औद्यानिकी,horticulture
उद्यान वानिक पशुपाल्य खेती,horti-silvi pastoral farming
परपोषी,host
तप्त जलोपचार,hot water treatment
हल,hull
आर्द्रता,humidity
ह्यूमस,humus
भूसी,husk
छिलका मशीन,husker
छिलका उतारना,peel
संकर,hybrid
संकरण,hybridization
जलयोजन,hydration
जलीयन,hydration
जल विज्ञान,hydrology
जल अपघटन,hydrolysis
द्रवघनत्व मापी,hydrometer
हाइड्रोमीटर,hydrometer
जल परागित,hydrophilous
जल संबंधन,hydroponics
जल मंडल,hydrosphere
आर्द्रता-ग्राहकता,hygroscopicity
परपरजीवी,hyperparasite
अतिवृद्धि,hyperplasia
ककक तंतु,hypha
हाइफा,hypha
बीजपत्राधार,hypocotyl
परिकल्पना,hypothesis
शैथिल्य (जल),hysteresis (water)
स्व स्थान में कलम-बंधन,in situ grafting
पात्रे,in vitro
जीवे,in vivo
अविवेकपूर्ण,indiscriminate
कीट,insect
कीट पीड़क,insect pest
कीटालय,insectary
कीटनाशी,insecticide
कीटाहारी,insectivorous
"सूर्यातपन, आतपन",insolation
अविलेय,insoluble
"इन्स्टार (कीट), अंतरनिर्माणीय अवस्था",instar (insect)
रोधी,insulator
समेकित रोग प्रबंधन,integrated disease management
समेकित पोषक तत्व प्रबंधन,integrated nutrient management
समेकित पीड़क प्रबंधन,integrated pest management
सघनता,intensification
गहनता,intensification
गहन,intensive
सघन,intensive
बीच की फसल,intercrop
अंतराफसल,intercrop
अंत: सरस कर्षण,intercultivation (interculture)
निराई,weeding
ब्याज,interest
पर्व,internode
पोरी,internode
अंतरावस्था (कोशिका विभाजन),interphase (cell division)
अंतर्वेशन,interpolation
अंतर्बंध्य,inter-sterile
विवरण,inventory
सूची,inventory
प्रतिलोमिकीकरण,inversion
चक्र,involucre
सहपत्र,involucre
आयन,ion
किरणन,irradiation
सिंचाई,irrigation
समविकली,iso alleles
समोत्पाद वक्र,iso product curve
समदाब रेखा,isobar
समयुग्मन,isogamy
पृथक्करण दूरी,isolation distance
समगुणित,isoploid
समोत्पाद,isoquant
आइसोटोप,isotope
समस्थानिक,isotope
गुड़,jaggery
खांडसारी,jaggery
जपोनिका धान,japonica rice
जेसिड,jassid
जावाई धान (चावल),javanica rice
जेली बनाना,jelling
झूम कृषि,jhum cultivation
झंपक जीन,jumping gene
अनुपयोगी डी.एन.ए,junk DNA
वयस्कपूर्व अवस्था,juvenile phase
कैओलिन,kaolin
कैओलिन मिट्टी,kaolinite
खड़िया मिट्टी,kaolinite
कैओलिनाइट,kaolinite
केंद्रककायमा,karyenchyma
केंद्रकबंध,karyodesma
केंद्रक संलयन,karyogamy
गुणसूत्र आलेख,karyogram (idiogram)
सूत्री विभाजन,karyokinesis
केन्द्रक विज्ञान,karyology
केन्द्रक विघटन,karyolysis
केन्द्रक,nucleus
"केन्द्रक प्रकार, गुणसूत्र प्रकार",karyotype
केल्प,kelp (algae)
केल्विन चक्र,kelvin cycle
किरैटिन,keratin
गिरी,kernel
दाना,kernel
खैरा रोग,khaira disease
खरीफ,kharif
बकरी का व्यान,kidding
काइनेटोकोर,kinetochore
शाक- वाटिका,kitchen garden
गृह वाटिका,kitchen garden
क्लाइनफिल्टर संलक्षण,Kleinfelter syndrome
क्लेनो खंड,Klenow fragment
खांच लगाना,knotching
कोच का अभिगुहीत,Koch's postulate
कोपन का वर्गीकरण (जलवायु),Koppen's classification (Climate)
क्रेब का चक्र,krebs cycle
कर्टोसिस,kurtosis
ककुदता,kurtosis
घातक मात्रा 50,L.D.50 (lethal dose 50)
प्रयोगशाला से खेत तक,lab to land
अस्थिर,labile
श्रम,labour
मजदूर,labour
श्रमिक,labour
लैक प्रचालक प्रतिदर्श,lac operon model
दुग्ध स्रवण,lactation
दुग्धजनक हार्मोन (प्रोलैक्टिन),lactogenic hormone (prolactin)
